OMNIWeb Plus Browser Results
2024   5  6   -20
2024   5  7   -20
2024   5  8   -16
2024   5  9   -11
2024   5 10    -5
2024   5 11    -4
2024   5 12    -5
2024   5 13    -7
2024   5 14    -8
2024   5 15   -11
2024   5 16   -14
2024   5 17   -16
2024   5 18   -12
2024   5 19    -9
2024   5 20    -9
2024   5 21    -7
2024   5 22   -10
2024   5 23   -10
2024   6  0    -8
2024   6  1   -10
2024   6  2   -12
2024   6  3   -11
2024   6  4    -8
2024   6  5    -9
2024   6  6    -7
2024   6  7    -5
2024   6  8    -3
2024   6  9    -1
2024   6 10     1
2024   6 11     2
2024   6 12     0
2024   6 13    -1
2024   6 14    -3
2024   6 15    -4
2024   6 16    -4
2024   6 17    -6
2024   6 18    -6
2024   6 19    -6
2024   6 20    -5
2024   6 21    -7
2024   6 22    -8
2024   6 23    -8
2024   7  0    -5
2024   7  1    -4
2024   7  2    -5
2024   7  3    -5
2024   7  4    -5
2024   7  5    -5
2024   7  6    -4
2024   7  7    -2
2024   7  8     3
2024   7  9     5
2024   7 10     6
2024   7 11     6
2024   7 12     6
2024   7 13     1
2024   7 14    -4
2024   7 15    -3
2024   7 16     2
2024   7 17     4
2024   7 18     2
2024   7 19     2
2024   7 20     3
2024   7 21     4
2024   7 22     6
2024   7 23     5
2024   8  0     5
2024   8  1     8
2024   8  2     9
2024   8  3     8
2024   8  4     7
2024   8  5     7
2024   8  6     7
2024   8  7     7
2024   8  8     7
2024   8  9     8
2024   8 10     7
2024   8 11     8
2024   8 12     8
2024   8 13     8
2024   8 14    11
2024   8 15    11
2024   8 16    13
2024   8 17    12
2024   8 18    10
2024   8 19     8
2024   8 20     6
2024   8 21     2
2024   8 22     3
2024   8 23     0
2024   9  0     2
2024   9  1     3
2024   9  2     4
2024   9  3     6
2024   9  4     5
2024   9  5     5
2024   9  6     3
2024   9  7     3
2024   9  8     4
2024   9  9     6
2024   9 10    12
2024   9 11    13
2024   9 12    11
2024   9 13     7
2024   9 14    10
2024   9 15     6
2024   9 16    -1
2024   9 17    -1
2024   9 18     0
2024   9 19     0
2024   9 20    -1
2024   9 21     1
2024   9 22     2
2024   9 23     1
2024  10  0     0
2024  10  1     1
2024  10  2     4
2024  10  3     8
2024  10  4     9
2024  10  5     8
2024  10  6    12
2024  10  7    14
2024  10  8    11
2024  10  9     2
2024  10 10     2
2024  10 11     2
2024  10 12     3
2024  10 13    -2
2024  10 14    -2
2024  10 15    -5
2024  10 16    -7
2024  10 17   -11
2024  10 18   -11
2024  10 19   -11
2024  10 20    -9
2024  10 21   -10
2024  10 22    -7
2024  10 23    -6
2024  11  0    -3
2024  11  1    -3
2024  11  2    -3
2024  11  3    -3
2024  11  4    -4
2024  11  5    -7
2024  11  6    -9
2024  11  7   -14
2024  11  8   -16
2024  11  9   -11
2024  11 10    -8
2024  11 11    -9
2024  11 12    -7
2024  11 13    -7
2024  11 14    -8
2024  11 15   -15
2024  11 16   -18
2024  11 17   -16
2024  11 18   -14
2024  11 19   -13
2024  11 20   -10
2024  11 21    -8
2024  11 22    -2
2024  11 23     2
2024  12  0     4
2024  12  1     5
2024  12  2     5
2024  12  3     6
2024  12  4     4
2024  12  5     1
2024  12  6     1
2024  12  7    -1
2024  12  8    -3
2024  12  9    -4
2024  12 10    -5
2024  12 11    -7
2024  12 12    -6
2024  12 13    -4
2024  12 14    -4
2024  12 15    -8
2024  12 16   -12
2024  12 17   -11
2024  12 18   -11
2024  12 19   -10
2024  12 20    -8
2024  12 21    -4
2024  12 22    -1
2024  12 23    -2
2024  13  0    -4
2024  13  1    -3
2024  13  2     0
2024  13  3     1
2024  13  4     1
2024  13  5     0
2024  13  6     0
2024  13  7    -1
2024  13  8    -4
2024  13  9    -5
2024  13 10    -4
2024  13 11    -6
2024  13 12    -6
2024  13 13    -6
2024  13 14    -4
2024  13 15    -4
2024  13 16    -4
2024  13 17    -3
2024  13 18     0
2024  13 19    -2
2024  13 20    -3
2024  13 21    -2
2024  13 22    -2
2024  13 23     0
2024  14  0     1
2024  14  1     1
2024  14  2     0
2024  14  3     0
2024  14  4     1
2024  14  5    -1
2024  14  6    -3
2024  14  7    -5
2024  14  8    -4
2024  14  9    -5
2024  14 10    -9
2024  14 11    -9
2024  14 12    -9
2024  14 13    -8
2024  14 14    -8
2024  14 15   -14
2024  14 16   -21
2024  14 17   -24
2024  14 18   -24
2024  14 19   -22
2024  14 20   -21
2024  14 21   -13
2024  14 22   -12
2024  14 23   -11
2024  15  0    -9
2024  15  1   -10
2024  15  2    -7
2024  15  3    -2
2024  15  4    -2
2024  15  5    -3
2024  15  6    -5
2024  15  7   -10
2024  15  8   -13
2024  15  9   -13
2024  15 10   -12
2024  15 11   -10
2024  15 12    -5
2024  15 13     0
2024  15 14    -6
2024  15 15    -9
2024  15 16   -13
2024  15 17   -12
2024  15 18    -8
2024  15 19    -3
2024  15 20    -1
2024  15 21     2
2024  15 22     4
2024  15 23    -1
2024  16  0    -4
2024  16  1    -6
2024  16  2    -9
2024  16  3    -6
2024  16  4    -7
2024  16  5    -3
2024  16  6    -1
2024  16  7    -1
2024  16  8    -6
2024  16  9    -8
2024  16 10    -9
2024  16 11    -9
2024  16 12    -8
2024  16 13    -1
2024  16 14     3
2024  16 15     0
2024  16 16    -4
2024  16 17    -3
2024  16 18     4
2024  16 19     2
2024  16 20     2
2024  16 21     0
2024  16 22     1
2024  16 23    -1
2024  17  0    -2
2024  17  1    -5
2024  17  2    -5
2024  17  3    -4
2024  17  4    -2
2024  17  5     0
2024  17  6    -1
2024  17  7    -3
2024  17  8    -3
2024  17  9    -5
2024  17 10    -6
2024  17 11    -7
2024  17 12    -5
2024  17 13     0
2024  17 14     4
2024  17 15     3
2024  17 16     1
2024  17 17     3
2024  17 18     4
2024  17 19     7
2024  17 20    10
2024  17 21    11
2024  17 22    10
2024  17 23    12
2024  18  0    12
2024  18  1     8
2024  18  2     6
2024  18  3     7
2024  18  4     4
2024  18  5     4
2024  18  6     8
2024  18  7     8
2024  18  8     1
2024  18  9    -4
2024  18 10    -9
2024  18 11   -10
2024  18 12   -10
2024  18 13   -14
2024  18 14   -11
2024  18 15   -12
2024  18 16   -11
2024  18 17    -8
2024  18 18    -7
2024  18 19   -11
2024  18 20   -10
2024  18 21    -5
2024  18 22    -5
2024  18 23    -7
2024  19  0    -6
2024  19  1    -6
2024  19  2    -8
2024  19  3   -12
2024  19  4   -17
2024  19  5   -18
2024  19  6   -22
2024  19  7   -23
2024  19  8   -20
2024  19  9   -11
2024  19 10    -8
2024  19 11    -8
2024  19 12    -6
2024  19 13    -5
2024  19 14    -5
2024  19 15    -5
2024  19 16    -8
2024  19 17   -12
2024  19 18   -13
2024  19 19   -13
2024  19 20    -7
2024  19 21    -1
2024  19 22    -3
2024  19 23    -6
2024  20  0    -2
2024  20  1     0
2024  20  2    -1
2024  20  3    -3
2024  20  4    -9
2024  20  5    -9
2024  20  6    -5
2024  20  7    -3
2024  20  8    -5
2024  20  9    -7
2024  20 10   -11
2024  20 11   -13
2024  20 12   -13
2024  20 13   -12
2024  20 14   -13
2024  20 15   -10
2024  20 16    -7
2024  20 17   -10
2024  20 18    -9
2024  20 19    -9
2024  20 20    -6
2024  20 21    -1
2024  20 22     2
2024  20 23     1
2024  21  0     3
2024  21  1     1
2024  21  2    -1
2024  21  3    -3
2024  21  4    -4
2024  21  5    -5
2024  21  6    -6
2024  21  7    -7
2024  21  8   -11
2024  21  9   -10
2024  21 10   -11
2024  21 11   -14
2024  21 12   -12
2024  21 13    -9
2024  21 14    -4
2024  21 15    -2
2024  21 16     1
2024  21 17     4
2024  21 18     7
2024  21 19     6
2024  21 20     8
2024  21 21    11
2024  21 22    10
2024  21 23     8
2024  22  0     9
2024  22  1     9
2024  22  2     4
2024  22  3     5
2024  22  4     5
2024  22  5     3
2024  22  6     0
2024  22  7     2
2024  22  8    -1
2024  22  9     1
2024  22 10     1
2024  22 11     0
2024  22 12    -1
2024  22 13    -1
2024  22 14    -2
2024  22 15    -2
2024  22 16     5
2024  22 17    14
2024  22 18    13
2024  22 19    11
2024  22 20     9
2024  22 21     0
2024  22 22    -8
2024  22 23     1
2024  23  0     4
2024  23  1    -1
2024  23  2    -9
2024  23  3    -8
2024  23  4    -4
2024  23  5    -6
2024  23  6    -7
2024  23  7    -9
2024  23  8   -11
2024  23  9    -9
2024  23 10    -8
2024  23 11    -7
2024  23 12    -3
2024  23 13     2
2024  23 14     3
2024  23 15     3
2024  23 16     4
2024  23 17     5
2024  23 18     2
2024  23 19    -1
2024  23 20     0
2024  23 21     4
2024  23 22     6
2024  23 23     5
2024  24  0    14
2024  24  1     9
2024  24  2     2
2024  24  3    -2
2024  24  4   -15
2024  24  5   -15
2024  24  6    -8
2024  24  7    -9
2024  24  8    -9
2024  24  9    -9
2024  24 10    -9
2024  24 11    -7
2024  24 12     3
2024  24 13     6
2024  24 14     5
2024  24 15     2
2024  24 16     3
2024  24 17     2
2024  24 18     2
2024  24 19    -1
2024  24 20    -1
2024  24 21     4
2024  24 22     7
2024  24 23     7
2024  25  0     9
2024  25  1     9
2024  25  2     5
2024  25  3     2
2024  25  4    -1
2024  25  5     0
2024  25  6     3
2024  25  7     6
2024  25  8     5
2024  25  9     7
2024  25 10     3
2024  25 11     2
2024  25 12     2
2024  25 13    -3
2024  25 14    -4
2024  25 15     5
2024  25 16     8
2024  25 17     8
2024  25 18     8
2024  25 19     5
2024  25 20     6
2024  25 21     5
2024  25 22     6
2024  25 23     8
2024  26  0    10
2024  26  1     9
2024  26  2     5
2024  26  3     2
2024  26  4     2
2024  26  5     0
2024  26  6    -1
2024  26  7    -1
2024  26  8     0
2024  26  9     4
2024  26 10     5
2024  26 11     6
2024  26 12     9
2024  26 13     7
2024  26 14    -8
2024  26 15    -8
2024  26 16    -6
2024  26 17    -8
2024  26 18    -5
2024  26 19    -5
2024  26 20    -5
2024  26 21    -6
2024  26 22    -6
2024  26 23    -6
2024  27  0    -4
2024  27  1    -3
2024  27  2    -8
2024  27  3   -10
2024  27  4    -6
2024  27  5    -6
2024  27  6    -7
2024  27  7    -8
2024  27  8   -10
2024  27  9    -5
2024  27 10    -4
2024  27 11    -3
2024  27 12     1
2024  27 13     2
2024  27 14    -1
2024  27 15    -3
2024  27 16     2
2024  27 17     2
2024  27 18    -1
2024  27 19    -3
2024  27 20    -1
2024  27 21     8
2024  27 22    14
2024  27 23    12
2024  28  0    13
2024  28  1    14
2024  28  2    13
2024  28  3    17
2024  28  4    15
2024  28  5    12
2024  28  6    13
2024  28  7    14
2024  28  8    10
2024  28  9    16
2024  28 10    19
2024  28 11    13
2024  28 12    17
2024  28 13    12
2024  28 14     8
2024  28 15     7
2024  28 16     5
2024  28 17     2
2024  28 18    -3
2024  28 19    -7
2024  28 20   -10
2024  28 21    -7
2024  28 22    -1
2024  28 23    -2
2024  29  0     0
2024  29  1    -5
2024  29  2    -6
2024  29  3    -4
2024  29  4    -6
2024  29  5    -5
2024  29  6    -7
2024  29  7    -9
2024  29  8   -10
2024  29  9    -6
2024  29 10    -7
2024  29 11   -10
2024  29 12    -6
2024  29 13     2
2024  29 14    -1
2024  29 15    -4
2024  29 16    -5
2024  29 17   -10
2024  29 18    -9
2024  29 19   -10
2024  29 20    -8
2024  29 21     1
2024  29 22     7
2024  29 23    10
2024  30  0     9
2024  30  1     8
2024  30  2     2
2024  30  3    -2
2024  30  4    -4
2024  30  5    -9
2024  30  6   -11
2024  30  7   -14
2024  30  8   -14
2024  30  9   -12
2024  30 10    -8
2024  30 11    -7
2024  30 12    -8
2024  30 13    -6
2024  30 14    -6
2024  30 15    -8
2024  30 16    -7
2024  30 17    -8
2024  30 18    -9
2024  30 19    -9
2024  30 20    -4
2024  30 21     3
2024  30 22     1
2024  30 23    -2
2024  31  0    -1
2024  31  1     1
2024  31  2    -4
2024  31  3    -9
2024  31  4    -7
2024  31  5    -6
2024  31  6    -7
2024  31  7    -6
2024  31  8    -9
2024  31  9    -9
2024  31 10    -8
2024  31 11    -4
2024  31 12    -2
2024  31 13    -2
2024  31 14    -3
2024  31 15    -6
2024  31 16    -6
2024  31 17    -7
2024  31 18    -7
2024  31 19   -11
2024  31 20   -10
2024  31 21    -3
2024  31 22    -2
2024  31 23    -1
2024  32  0    -8
2024  32  1    -9
2024  32  2    -7
2024  32  3    -4
2024  32  4    -2
2024  32  5     1
2024  32  6    10
2024  32  7    13
2024  32  8    13
2024  32  9     3
2024  32 10    -5
2024  32 11    -3
2024  32 12    -1
2024  32 13     0
2024  32 14    -3
2024  32 15    -7
2024  32 16    -6
2024  32 17    -9
2024  32 18    -6
2024  32 19    -5
2024  32 20    -6
2024  32 21    -5
2024  32 22    -2
2024  32 23    -4
2024  33  0    -6
2024  33  1    -7
2024  33  2    -7
2024  33  3    -4
2024  33  4    -3
2024  33  5    -4
2024  33  6    -5
2024  33  7    -3
2024  33  8     0
2024  33  9    -1
2024  33 10    -4
2024  33 11    -5
2024  33 12    -4
2024  33 13    -4
2024  33 14    -3
2024  33 15    -2
2024  33 16    -2
2024  33 17    -2
2024  33 18     0
2024  33 19     1
2024  33 20     2
2024  33 21     3
2024  33 22     3
2024  33 23     3
2024  34  0     3
2024  34  1     1
2024  34  2     0
2024  34  3    -3
2024  34  4    -1
2024  34  5    -1
2024  34  6    -1
2024  34  7    -2
2024  34  8    -1
2024  34  9     0
2024  34 10     0
2024  34 11     2
2024  34 12     3
2024  34 13     5
2024  34 14     4
2024  34 15     2
2024  34 16     2
2024  34 17     0
2024  34 18     3
2024  34 19     5
2024  34 20     7
2024  34 21     9
2024  34 22    10
2024  34 23    10
2024  35  0     9
2024  35  1     7
2024  35  2     7
2024  35  3     8
2024  35  4     9
2024  35  5     9
2024  35  6     6
2024  35  7     7
2024  35  8     9
2024  35  9     9
2024  35 10    13
2024  35 11    12
2024  35 12     6
2024  35 13     5
2024  35 14     6
2024  35 15     7
2024  35 16    11
2024  35 17    11
2024  35 18     3
2024  35 19     1
2024  35 20    -2
2024  35 21    -3
2024  35 22    -3
2024  35 23     2
2024  36  0     5
2024  36  1     6
2024  36  2     6
2024  36  3     3
2024  36  4     2
2024  36  5     2
2024  36  6     3
2024  36  7     7
2024  36  8     6
2024  36  9    10
2024  36 10    13
2024  36 11    13
2024  36 12    10
2024  36 13    11
2024  36 14    14
2024  36 15    14
2024  36 16    14
2024  36 17     9
2024  36 18     2
2024  36 19     4
2024  36 20     8
2024  36 21    11
2024  36 22    13
2024  36 23    11
2024  37  0     7
2024  37  1    11
2024  37  2    11
2024  37  3     3
2024  37  4     2
2024  37  5    -1
2024  37  6     1
2024  37  7     8
2024  37  8    12
2024  37  9     9
2024  37 10     6
2024  37 11     8
2024  37 12     5
2024  37 13     3
2024  37 14     2
2024  37 15     1
2024  37 16     0
2024  37 17    -7
2024  37 18   -12
2024  37 19    -9
2024  37 20    -9
2024  37 21    -4
2024  37 22     0
2024  37 23     4
2024  38  0     4
2024  38  1     0
2024  38  2    -4
2024  38  3    -5
2024  38  4    -5
2024  38  5    -3
2024  38  6    -1
2024  38  7     4
2024  38  8     4
2024  38  9     1
2024  38 10     3
2024  38 11     5
2024  38 12     2
2024  38 13     0
2024  38 14    -1
2024  38 15     2
2024  38 16     1
2024  38 17    -2
2024  38 18     0
2024  38 19     2
2024  38 20     2
2024  38 21     1
2024  38 22     3
2024  38 23     3
2024  39  0     3
2024  39  1    -1
2024  39  2     0
2024  39  3     0
2024  39  4    -1
2024  39  5    -1
2024  39  6     1
2024  39  7     2
2024  39  8     2
2024  39  9    -1
2024  39 10     1
2024  39 11    -1
2024  39 12    -4
2024  39 13    -7
2024  39 14   -10
2024  39 15    -7
2024  39 16    -5
2024  39 17    -7
2024  39 18    -6
2024  39 19    -4
2024  39 20     1
2024  39 21     3
2024  39 22     8
2024  39 23     8
2024  40  0     7
2024  40  1     5
2024  40  2     2
2024  40  3    -3
2024  40  4    -4
2024  40  5    -4
2024  40  6    -1
2024  40  7     0
2024  40  8    -4
2024  40  9    -5
2024  40 10    -4
2024  40 11    -5
2024  40 12    -6
2024  40 13    -9
2024  40 14    -5
2024  40 15    -2
2024  40 16     0
2024  40 17     2
2024  40 18     6
2024  40 19     8
2024  40 20    11
2024  40 21    19
2024  40 22    20
2024  40 23    13
2024  41  0    20
2024  41  1    21
2024  41  2    14
2024  41  3    12
2024  41  4    16
2024  41  5    17
2024  41  6    16
2024  41  7    22
2024  41  8    17
2024  41  9    12
2024  41 10     7
2024  41 11     5
2024  41 12     5
2024  41 13     5
2024  41 14     7
2024  41 15    10
2024  41 16    11
2024  41 17    10
2024  41 18     9
2024  41 19    11
2024  41 20    13
2024  41 21    12
2024  41 22    12
2024  41 23    14
2024  42  0    20
2024  42  1    20
2024  42  2    33
2024  42  3    13
2024  42  4     1
2024  42  5    -3
2024  42  6   -10
2024  42  7    -9
2024  42  8    -6
2024  42  9   -14
2024  42 10   -21
2024  42 11   -20
2024  42 12   -14
2024  42 13   -10
2024  42 14   -15
2024  42 15   -16
2024  42 16   -15
2024  42 17   -16
2024  42 18   -13
2024  42 19   -13
2024  42 20   -14
2024  42 21   -14
2024  42 22   -15
2024  42 23   -13
2024  43  0   -15
2024  43  1   -15
2024  43  2   -14
2024  43  3   -10
2024  43  4    -4
2024  43  5    -2
2024  43  6    -4
2024  43  7    -4
2024  43  8    -2
2024  43  9    -3
2024  43 10    -4
2024  43 11    -5
2024  43 12    -4
2024  43 13    -2
2024  43 14    -1
2024  43 15     0
2024  43 16     1
2024  43 17     1
2024  43 18     0
2024  43 19     0
2024  43 20    -1
2024  43 21    -1
2024  43 22     0
2024  43 23     2
2024  44  0     3
2024  44  1     0
2024  44  2     3
2024  44  3     6
2024  44  4     4
2024  44  5     4
2024  44  6     5
2024  44  7     8
2024  44  8     4
2024  44  9     0
2024  44 10     1
2024  44 11    -3
2024  44 12    -7
2024  44 13    -7
2024  44 14   -11
2024  44 15   -17
2024  44 16   -18
2024  44 17   -15
2024  44 18   -16
2024  44 19   -15
2024  44 20   -12
2024  44 21   -10
2024  44 22   -14
2024  44 23   -12
2024  45  0   -10
2024  45  1   -14
2024  45  2   -16
2024  45  3   -20
2024  45  4   -20
2024  45  5   -12
2024  45  6   -13
2024  45  7   -16
2024  45  8   -18
2024  45  9   -16
2024  45 10   -13
2024  45 11   -12
2024  45 12   -10
2024  45 13    -8
2024  45 14    -8
2024  45 15    -7
2024  45 16    -5
2024  45 17    -5
2024  45 18    -4
2024  45 19    -5
2024  45 20    -5
2024  45 21    -7
2024  45 22    -8
2024  45 23    -2
2024  46  0    -2
2024  46  1     0
2024  46  2     4
2024  46  3     3
2024  46  4     2
2024  46  5     2
2024  46  6     3
2024  46  7     1
2024  46  8     1
2024  46  9     2
2024  46 10     3
2024  46 11     3
2024  46 12     1
2024  46 13     0
2024  46 14     0
2024  46 15     0
2024  46 16     3
2024  46 17     4
2024  46 18     2
2024  46 19     0
2024  46 20    -2
2024  46 21    -3
2024  46 22    -3
2024  46 23    -6
2024  47  0    -8
2024  47  1   -10
2024  47  2   -13
2024  47  3   -13
2024  47  4   -11
2024  47  5    -9
2024  47  6    -5
2024  47  7    -1
2024  47  8     4
2024  47  9     6
2024  47 10     9
2024  47 11    13
2024  47 12    14
2024  47 13    14
2024  47 14    15
2024  47 15     9
2024  47 16     9
2024  47 17     9
2024  47 18    12
2024  47 19    13
2024  47 20    12
2024  47 21     8
2024  47 22     5
2024  47 23     5
2024  48  0     4
2024  48  1     1
2024  48  2    -3
2024  48  3    -6
2024  48  4    -2
2024  48  5     1
2024  48  6     2
2024  48  7     2
2024  48  8     4
2024  48  9     3
2024  48 10    -1
2024  48 11    -5
2024  48 12    -4
2024  48 13    -3
2024  48 14    -4
2024  48 15    -3
2024  48 16    -3
2024  48 17    -4
2024  48 18    -4
2024  48 19    -5
2024  48 20    -4
2024  48 21    -8
2024  48 22   -12
2024  48 23   -15
2024  49  0   -21
2024  49  1   -24
2024  49  2   -26
2024  49  3   -23
2024  49  4   -20
2024  49  5   -19
2024  49  6   -17
2024  49  7   -13
2024  49  8   -12
2024  49  9   -14
2024  49 10   -11
2024  49 11   -12
2024  49 12   -11
2024  49 13    -7
2024  49 14    -6
2024  49 15    -6
2024  49 16    -8
2024  49 17   -10
2024  49 18   -12
2024  49 19   -13
2024  49 20   -11
2024  49 21    -8
2024  49 22    -6
2024  49 23    -5
2024  50  0    -3
2024  50  1    -4
2024  50  2    -6
2024  50  3    -4
2024  50  4    -1
2024  50  5    -1
2024  50  6    -2
2024  50  7    -2
2024  50  8    -6
2024  50  9    -8
2024  50 10    -7
2024  50 11    -5
2024  50 12    -4
2024  50 13    -1
2024  50 14    -1
2024  50 15    -1
2024  50 16    -2
2024  50 17    -4
2024  50 18    -6
2024  50 19    -4
2024  50 20    -1
2024  50 21    -2
2024  50 22     0
2024  50 23     3
2024  51  0     4
2024  51  1     3
2024  51  2     6
2024  51  3     7
2024  51  4     6
2024  51  5     4
2024  51  6     2
2024  51  7     0
2024  51  8    -5
2024  51  9    -8
2024  51 10    -6
2024  51 11    -8
2024  51 12   -10
2024  51 13    -9
2024  51 14   -14
2024  51 15   -18
2024  51 16   -17
2024  51 17   -14
2024  51 18    -8
2024  51 19    -7
2024  51 20   -11
2024  51 21    -8
2024  51 22    -9
2024  51 23    -5
2024  52  0    -3
2024  52  1     0
2024  52  2     2
2024  52  3     3
2024  52  4     4
2024  52  5     4
2024  52  6     5
2024  52  7     7
2024  52  8     4
2024  52  9     3
2024  52 10     1
2024  52 11     1
2024  52 12     5
2024  52 13     6
2024  52 14     8
2024  52 15    10
2024  52 16     8
2024  52 17     3
2024  52 18     3
2024  52 19     0
2024  52 20     0
2024  52 21    -1
2024  52 22     1
2024  52 23     2
2024  53  0     5
2024  53  1     3
2024  53  2    -1
2024  53  3     1
2024  53  4     0
2024  53  5     3
2024  53  6     3
2024  53  7    -2
2024  53  8    -4
2024  53  9    -1
2024  53 10    -6
2024  53 11    -8
2024  53 12    -4
2024  53 13    -2
2024  53 14    -2
2024  53 15    -1
2024  53 16    -2
2024  53 17    -6
2024  53 18   -10
2024  53 19   -13
2024  53 20   -14
2024  53 21   -12
2024  53 22    -9
2024  53 23    -5
2024  54  0     0
2024  54  1     2
2024  54  2     2
2024  54  3     3
2024  54  4     2
2024  54  5     2
2024  54  6     3
2024  54  7     5
2024  54  8     5
2024  54  9     7
2024  54 10     9
2024  54 11     7
2024  54 12     6
2024  54 13     3
2024  54 14     3
2024  54 15     5
2024  54 16     5
2024  54 17     6
2024  54 18     7
2024  54 19     6
2024  54 20     3
2024  54 21     1
2024  54 22     1
2024  54 23    -1
2024  55  0    -1
2024  55  1     1
2024  55  2     2
2024  55  3     5
2024  55  4     7
2024  55  5     7
2024  55  6     7
2024  55  7     5
2024  55  8     3
2024  55  9     0
2024  55 10    -6
2024  55 11    -6
2024  55 12    -3
2024  55 13    -3
2024  55 14     0
2024  55 15     3
2024  55 16     3
2024  55 17    11
2024  55 18    14
2024  55 19    11
2024  55 20     3
2024  55 21   -13
2024  55 22    -9
2024  55 23   -10
2024  56  0    -7
2024  56  1    -9
2024  56  2   -13
2024  56  3   -12
2024  56  4   -13
2024  56  5   -13
2024  56  6   -12
2024  56  7   -14
2024  56  8   -20
2024  56  9   -27
2024  56 10   -27
2024  56 11   -23
2024  56 12   -12
2024  56 13    -9
2024  56 14   -15
2024  56 15   -15
2024  56 16   -12
2024  56 17    -5
2024  56 18     2
2024  56 19     2
2024  56 20    -1
2024  56 21   -12
2024  56 22    -4
2024  56 23    -4
2024  57  0    -3
2024  57  1   -11
2024  57  2   -14
2024  57  3   -17
2024  57  4   -13
2024  57  5   -10
2024  57  6   -17
2024  57  7   -16
2024  57  8   -18
2024  57  9   -18
2024  57 10   -14
2024  57 11   -11
2024  57 12    -8
2024  57 13    -1
2024  57 14     2
2024  57 15    -1
2024  57 16     1
2024  57 17    -1
2024  57 18    -1
2024  57 19    -3
2024  57 20    -6
2024  57 21    -8
2024  57 22    -5
2024  57 23    -5
2024  58  0   -15
2024  58  1   -25
2024  58  2   -21
2024  58  3   -16
2024  58  4   -11
2024  58  5   -10
2024  58  6   -19
2024  58  7   -17
2024  58  8   -16
2024  58  9   -19
2024  58 10   -19
2024  58 11   -18
2024  58 12   -15
2024  58 13   -13
2024  58 14   -11
2024  58 15   -14
2024  58 16   -13
2024  58 17   -13
2024  58 18   -11
2024  58 19   -10
2024  58 20   -12
2024  58 21   -14
2024  58 22   -11
2024  58 23    -7
2024  59  0    -3
2024  59  1    -4
2024  59  2    -4
2024  59  3    -5
2024  59  4    -6
2024  59  5   -10
2024  59  6   -11
2024  59  7    -9
2024  59  8    -7
2024  59  9   -10
2024  59 10   -17
2024  59 11   -18
2024  59 12   -15
2024  59 13   -11
2024  59 14   -12
2024  59 15   -12
2024  59 16   -10
2024  59 17    -9
2024  59 18    -7
2024  59 19    -5
2024  59 20    -8
2024  59 21   -10
2024  59 22    -9
2024  59 23    -7
2024  60  0    -2
2024  60  1     0
2024  60  2    -1
2024  60  3    -1
2024  60  4     1
2024  60  5    -1
2024  60  6    -1
2024  60  7     0
2024  60  8    -1
2024  60  9     1
2024  60 10     1
2024  60 11    -1
2024  60 12    -1
2024  60 13    -4
2024  60 14    -4
2024  60 15    -4
2024  60 16    -1
2024  60 17     0
2024  60 18    -2
2024  60 19    -3
2024  60 20    -4
2024  60 21    -4
2024  60 22    -2
2024  60 23     0
2024  61  0     5
2024  61  1     1
2024  61  2    -5
2024  61  3    -7
2024  61  4   -11
2024  61  5   -14
2024  61  6   -14
2024  61  7   -18
2024  61  8   -22
